sequence,Gephi,KMeans_15D,KMeans_2D
9|,3,3,8
37|12,11,7,5
9|24,3,3,8
26|36.23,10,6,11
16|26.23.24,10,6,11
37|31,5,15,0
18|37.18.37.30,12,8,14
13|30,12,8,9
36|22,0,3,8
7|36,7,2,1
31|18.36,5,3,0
24|18.37.24,9,5,10
36|21.24,14,10,4
27|18.37,11,7,5
18|37.18.37.33,4,10,4
8|13.30,12,8,9
18|33,15,10,15
37|18.37.20,4,1,7
37|16,10,6,11
24|18.37.18,9,3,15
37|18.37.30,12,8,14
16|26.18,10,4,6
36|9.22,0,3,8
36|17,5,9,0
34|36,6,14,2
22|18,3,3,8
8|18,11,3,15
26|24,10,4,6
24|36,9,5,10
18|36.33,0,10,4
0|11,13,1,7
8|13.18.36,12,8,9
19|,4,2,12
24|5,9,5,10
36|6.34,5,14,2
33|21,14,10,4
16|18.36,10,4,6
24|18.2,9,5,3
11|18.37.18,13,1,7
36|26,10,4,6
18|37.13,11,3,14
24|16,9,4,13
18|36.5,0,5,10
37|18.36,0,3,15
18|37.24.22,9,3,8
22|9,3,3,8
2|36,2,5,3
13|18.36,12,8,9
17|,5,9,0
18|12,8,7,5
10|18.36.18,2,5,3
37|18.37.18.37.2,2,5,3
18|2,2,5,3
36|27.12,11,7,5
23|24,10,6,11
37|18.37.18.37.16,4,6,11
5|18.36.18,1,5,14
26|,10,4,6
22|,3,3,15
23|18.37.18,10,6,13
22|18.37.18.37,3,3,8
0|18.36,13,1,7
4|18,14,10,4
21|24,14,10,4
18|37.18.37.24,9,5,10
12|18.36,8,7,5
37|18.37.34,6,14,2
18|37.18.37.18.37.32,13,9,0
36|13,12,3,15
36|32,0,9,0
16|23.18,10,4,6
31|17.24,5,9,0
8|,12,8,9
18|36.21,6,10,4
18|6,6,14,2
18|37.18.37.19,4,2,12
37|26,10,4,6
31|,5,3,0
14|18.36,11,3,10
6|34,6,14,2
18|37.18.32,13,1,7
18|37.18.37.34,6,14,2
31|32,5,15,0
15|36,7,2,1
36|4.36.21,14,10,4
18|11,15,1,7
