sequence,Gephi,KMeans_15D,KMeans_2D
18|37.18.37.33,4,7,1
19|,4,1,3
24|18.37.18.37,9,1,3
29|,0,1,3
18|36,5,9,3
37|18.37.24,9,7,1
37|18,15,1,8
18|37.18.37.24,9,0,0
18|37.24.22,9,6,2
36|18,0,9,3
18|37.24,9,1,3
5|,1,1,3
37|18.36,0,1,3
18|37.18.36,0,1,3
18|37.18.37.30,12,3,2
37|18.37.18.37,4,8,8
