502 2
94 0.18000592 0.8626554
210 0.2955408 1.1100422
400 0.08534023 1.2262104
401 0.31648666 0.84037447
137 0.25961497 0.66298544
22 0.46892574 0.8050045
52 0.2118982 0.8396515
0 0.36120087 0.9026165
329 0.19073583 0.7608959
301 0.013507115 0.6896373
218 0.527272 0.8758897
315 0.38959962 0.75937617
464 0.664884 0.94138426
443 0.4430586 0.733285
135 0.3980951 0.9308717
288 0.5268907 0.7636018
283 0.73624766 0.71786034
397 0.3136051 0.8324699
246 0.4128919 0.8998032
4 0.74795616 0.84090436
191 0.55543303 0.7876547
377 0.6617627 0.81953436
313 0.60236263 0.9801829
414 0.74709517 0.8376145
356 0.21852715 0.8060384
258 0.5102693 0.67118645
421 0.33031315 0.72206104
113 0.6142287 0.9446189
122 0.45056987 0.53595436
76 0.53675663 0.643612
234 0.6164186 0.5395645
146 0.36896977 0.8180317
129 0.33451417 0.71392554
179 0.3774406 1.0261831
86 0.29150233 0.9338651
334 0.5645077 0.5108475
261 0.3676871 0.98486537
172 0.2030643 0.87285465
226 0.53824437 0.99395263
149 0.43547562 0.428994
45 0.48848706 0.6856989
108 0.329703 0.84266937
87 0.40216267 0.74746555
501 0.21497025 0.9170345
469 0.34462675 0.8462214
326 0.4454525 0.679932
20 0.48905212 0.56115055
141 0.3234477 0.96161354
29 0.27593702 0.8072807
47 0.7405504 0.6512052
453 0.40734574 0.5610284
324 0.09149612 0.6906892
249 0.48943987 0.73978466
101 0.48867586 0.71746534
360 0.31026757 0.8116393
162 0.6819063 0.36113977
138 0.03040851 0.75813466
92 0.34765336 0.8454017
102 0.1807497 0.8351208
11 0.49513423 0.74768984
364 0.16664276 0.6374035
368 0.36894104 0.45917198
206 0.39446136 0.7080866
438 0.43270892 0.8328558
351 0.6864713 0.6579554
383 0.29900888 0.7729587
155 0.14043036 0.53129494
9 0.6374303 0.8148819
302 0.47406343 0.8406267
157 0.5827269 0.72168034
435 0.70630646 0.93763816
68 0.3205391 1.0539252
71 0.55380964 0.66302603
160 0.62016803 0.66458213
292 0.5711648 1.0532625
342 0.57904184 0.67382103
489 0.6844358 0.7601929
299 0.5719472 0.72690725
327 0.5645055 0.449635
433 0.026081637 0.68190163
204 0.33382353 0.37419006
193 0.25803915 0.8035487
163 0.56186 0.63037264
434 0.28553396 0.70169127
497 0.59201175 0.77037
381 0.34225333 0.93810636
366 0.28969967 0.7471616
