source, target
24|,13|24
24|,4|24
24|,18|
24|,30|24
24|,29|
24|,20|
24|,22|24
24|,17|24
24|,6|24
24|,14|24
24|,36|24
24|,37|24
24|,21|24
24|,15|24
24|,23|24
24|,10|24
24|,31|
24|,7|24
24|,19|24
24|,16|24
24|,34|24
24|,9|24
24|,12|24
27|24,28|27
23|29,26|23
5|24,37|5
13|30,8|13.30
13|24,8|13.24
37|28.27,18|37.28.27
36|16.26.24,23|36.16
37|18.37.2,18|37.18.37.2
18|30.8,37|18
4|24,36|4
4|24,21|4
36|,16|36
36|,23|36
36|,3|36
36|,7|36
36|,18|36
36|,34|36
36|,25|
36|,2|36
36|,11|36
36|,4|36
36|,26|36
36|,21|
36|,31|
36|,30|36
36|,0|36
36|,5|
36|,6|36
36|,29|
36|,20|
36|,13|36
36|,27|36
36|,15|36
36|,14|
36|,8|36
36|,17|36
36|,24|36
36|,19|
36|,32|36
36|,12|36
36|,28|36
36|,33|
36|,9|36
36|,22|
36|,10|
37|3,18|37.3
13|36,8|
13|36,37|13
18|37.18.37.18.37.30,12|18.37
18|37.18.37.18.37.30,37|18.37.18.37
22|18,9|22
22|18,18|22
22|18,36|22
22|18,37|22
14|18.36,18|14.18.36
14|18.36,37|
2|18.37.18.37.18.37,10|2.18
18|37.16,37|18.37.16
18|37.16,36|18
18|37.16,29|
10|18,36|10
10|18,18|
10|18,37|10
10|18,5|10
10|18,24|10.18
10|18,2|10.18
18|20,37|18
7|37,37|7
24|33,37|24
18|37.18.37.2,5|
18|37.18.37.2,37|18.37.18.37.2
18|37.18.37.2,14|
18|37.18.37.2,36|18.37.18
22|18.37.18.37,9|22
18|5,37|18
12|27,28|
12|27,37|12
7|18,36|7
7|18,37|7
7|18,25|7
26|18,36|26
26|18,37|26
26|18,18|26
26|18,23|
26|18,16|26.18
37|18.37.22,18|37.18.37.22
31|,32|
31|,18|
31|,36|31
31|,24|
31|,37|31
31|,17|31
18|36.28,37|18.36
24|16,37|24
20|18.37,0|20
36|30.8,18|36.30
24|32,37|24
18|36.3,37|18.36
18|37.30,12|18.37
18|37.30,13|18.37
18|37.30,24|18
18|37.30,37|18.37.30
18|37.30,36|18
36|27,28|36
36|27,18|36
37|33,18|37.33
18|37.34,6|18
18|37.34,37|18.37.34
18|37.34,4|18
18|37.34,24|18
18|37.34,36|18
18|37.34,14|
15|25,37|15
12|,28|
12|,37|12
12|,18|12
12|,24|
12|,36|12
12|,27|12
18|36,36|18
18|36,24|18.36
18|36,25|
18|36,30|18.36
18|36,2|18
18|36,4|18.36
18|36,11|
18|36,9|18.36
18|36,28|
18|36,16|18.36
18|36,3|18
18|36,21|18.36
18|36,5|
18|36,31|18.36
18|36,0|18.36
18|36,29|
18|36,20|
18|36,34|
18|36,10|18
18|36,33|18
18|36,17|18.36
18|36,8|18
18|36,37|18.36
18|36,22|18
18|36,14|18.36
18|36,6|18.36
18|36,19|
18|36,13|18.36
18|36,7|18
18|36,26|18
18|36,27|
18|36,23|18
18|36,15|18.36
18|36,12|18.36
24|18.37.18.37.24,37|24
37|26,18|37.26
37|13,18|37.13
37|18.36.16,18|37.18.36.16
17|18,37|17
17|18,18|17
17|18,36|17
17|18,31|17
17|18,24|
17|18,32|17.18
5|10,36|5
10|5,37|10
36|21,4|36.21
36|21,33|36.21
36|21,18|36.21
22|9,36|22
22|9,18|22
22|9,37|22
22|9,24|22
18|36.21,33|18
18|36.21,37|18.36
18|36.21,36|18
36|18.37.18,18|36.18.37.18
36|18.37.18,24|36
36|18.37.18,23|36
36|18.37.18,19|
36|18.37.18,13|36
36|18.37.18,9|36.18
36|18.37.18,29|36.18
36|18.37.18,4|36
36|18.37.18,5|36.18
36|18.37.18,21|
36|18.37.18,2|36
37|18.14,18|37.18.14
18|17,31|18
18|37.18.37.18.37.34,4|18
18|37.18.37.18.37.34,37|18.37.18.37
30|,13|30
30|,24|30
30|,37|30
30|,36|30
30|,18|30
30|,8|30
31|32,37|31
3|18,37|3
3|18,18|
3|18,36|3
3|18,24|3
3|18,5|3.18
18|36.26,37|18.36
0|,20|
0|,37|0
0|,18|0
0|,36|0
0|,24|
0|,11|
26|36.23,16|26.36
18|22,37|18
36|10,2|36
36|10,18|36.10
21|18.36,37|
21|18.36,36|21
36|23.36,18|36.23
6|18.14,34|
16|23.18,26|16.23
18|4,21|18
21|4,36|21.4
21|4,33|21
31|17.24,36|31.17
31|17.24,32|31.17.24
34|,36|34
34|,21|
34|,24|34
34|,37|34
34|,6|34
34|,18|34
2|18.37,18|2.18.37
2|18.37,24|2
2|18.37,36|2.18.37
2|18.37,37|2
2|18.37,10|2.18
18|9,22|18
18|9,37|18
10|2,36|10
10|2,24|10
10|2,18|
10|2,37|10
18|37.18,23|18.37.18
18|37.18,25|18.37
18|37.18,32|18
18|37.18,3|18
18|37.18,17|18
18|37.18,11|18.37.18
18|37.18,6|18
18|37.18,33|18
18|37.18,27|18.37
18|37.18,36|18.37.18
18|37.18,22|18
18|37.18,16|18
18|37.18,0|
18|37.18,5|
18|37.18,4|18
18|37.18,24|18.37.18
18|37.18,34|18.37
18|37.18,29|
18|37.18,2|18.37
18|37.18,15|
18|37.18,37|18.37
18|37.18,14|
18|37.18,28|18.37.18
18|37.18,10|18
18|37.18,21|18
18|37.18,13|18.37
18|37.18,19|
18|37.18,31|18
18|37.18,12|18.37
18|37.18,9|
18|37.18,7|18
18|37.18,26|18
18|37.18,20|18.37
18|37.18,30|18
37|7,18|37.7
