source,target,value
1000|0,1002|1000,0.14096916299559473
72|1000,71|72,1.0
1000|1003.1000.82,91|1000,1.0
1001|,32|1001,1.0
1001|,52|,0.04640582347588717
1001|,11|,0.04549590536851683
1001|,92|,0.04549590536851683
1001|,41|,0.0646041856232939
1001|,1000|1001,0.6839080459770115
1001|,42|,0.052775250227479524
1001|,0|1001,1.0
122|,124|,0.7426160337552743
122|,1000|,0.25738396624472576
1001|52,52|,1.0
1000|0.1000,1003|1000.0.1000,1.0
1000|0.1000,1002|1000,0.14285714285714285
1000|11,1003|1000.11,1.0
52|51,54|52,1.0
1000|92,1003|,1.0
91|1000,92|91,1.0
1003|1000.54,1000|1003.1000.54,1.0
83|,1000|83,1.0
83|,82|83,1.0
43|,41|43,1.0
43|,1002|43,1.0
43|,42|43,1.0
43|,1000|43,1.0
54|52,1000|54,0.7695473251028807
54|52,51|,0.23045267489711935
1000|51,1003|1000.51,1.0
1003|,1000|1003,0.01765650080256822
12|,1000|12,1.0
12|,11|,0.15560165975103735
12|,0|12,1.0
12|,21|,0.1037344398340249
1003|1000.0.1000,1000|1003.1000.0.1000,1.0
92|,1000|92,1.0
92|,93|92,1.0
92|,1001|92,1.0
92|91,93|92,1.0
1000|111,1003|,1.0
121|,1000|121,0.8606158833063209
93|92,1000|93.92,1.0
1002|1000,1000|1002,1.0
1001|1000,1000|1001,1.0
1000|113,1003|,1.0
0|1000.1002,1000|0.1000,1.0
41|42,1000|41,1.0
1000|1003.1000.32,32|1000.1003,0.18149466192170818
1000|1003.1000.32,0|1000.1003,0.4128113879003559
1000|1003.1000.32,43|1000.1003,0.40569395017793597
1002|,32|,0.04354587869362364
1002|,1000|1002,0.11030741410488246
1002|,0|1002,1.0
1002|,43|,0.04121306376360809
1000|82,1003|1000.82,1.0
103|1000,102|103,1.0
52|54,1000|52,1.0
1003|1000.121,1000|1003.1000.121,1.0
1000|101,1003|1000.101,1.0
33|1000.1003,1000|33.1000.1003,1.0
1000|33,0|1000,0.1976401179941003
1000|33,32|,0.22418879056047197
1000|33,1003|,0.336283185840708
1000|33,21|1000.33,1.0
0|72,1000|0,1.0
83|81.1000.1003,82|83,1.0
72|71,0|72,0.24752475247524752
72|71,1000|72,0.7524752475247525
