sequence,Gephi,KMeans_15D,KMeans_2D
24|6,6,2,1
13|,12,2,3
18|36.11,0,2,2
2|36,2,0,1
10|36.2,2,0,1
12|36,8,3,1
2|36.24,2,0,1
18|37,6,1,3
5|14,1,0,0
10|18.36.18,2,0,1
4|21,14,1,3
18|37.10,2,0,3
37|18.37.19,4,2,3
23|,10,2,0
6|18,6,2,1
36|19,0,2,2
16|26.24,10,2,0
18|36.23,0,2,3
18|36.14,0,0,0
22|24,3,2,2
18|33,15,1,3
18|37.18.37.19,4,2,3
18|37.18.37.23,4,2,0
37|18.37.23,4,2,0
36|22,0,2,2
18|37.15,7,2,0
18|37.16,10,3,3
22|18.37.18.37,3,2,2
21|18.36,6,1,3
18|37.18.37.18.37.34,4,2,1
22|9.36,3,2,2
16|26,10,1,0
28|12.18,11,2,1
23|36,10,2,0
18|37.4,14,1,3
18|36.32,0,3,2
37|30,12,3,3
36|18.37.29,0,0,0
36|31,5,3,2
7|37,7,2,0
36|5.18.14,1,0,0
2|18,2,0,1
13|8,11,2,3
13|30,12,2,3
24|32,9,3,2
18|2,2,0,1
18|36.8,0,2,3
32|31.17.24,5,2,2
12|,8,2,3
2|18.37,2,0,1
11|0.36,13,2,2
12|18,8,3,1
23|36.16,10,2,0
25|15,7,2,0
30|13,12,2,3
18|37.29,0,2,0
28|18.37.18,11,3,1
36|32,0,3,2
18|37.18.37.18.37.2,2,0,1
18|37.18.37.2,2,0,1
23|24,10,2,3
37|32,5,3,2
18|37.18.37.31,5,3,2
18|36.9,0,2,2
25|18.37,7,2,0
18|36.2,2,0,1
23|18.37.33,10,1,3
36|21,6,1,3
18|37.22,3,2,2
18|36.5,0,0,0
27|24,8,3,1
6|24,6,2,1
18|36.7,0,2,0
18|36.21,6,1,3
11|36,13,2,2
12|18.37,8,3,1
6|24.18.37.18,6,2,1
27|28,11,3,1
36|23.24,10,2,3
17|36,5,3,2
10|,2,0,1
34|18.37,6,2,1
18|3.5,15,0,0
5|,1,0,0
36|30.24,12,2,3
18|36.24,9,0,0
25|7,7,2,0
29|,0,2,0
3|,1,0,0
23|16,10,2,0
28|36,11,3,1
37|4,14,1,3
18|37.18.37.18.37,4,2,3
22|18,3,2,2
24|3,1,0,0
18|36.30,12,2,3
23|18.36.18,10,2,0
18|37.0,13,2,2
24|7,9,2,0
36|6,6,2,1
37|18.37.2,2,0,1
15|,7,2,0
24|18,9,0,3
18|37.11,13,2,2
28|27.12.24,8,3,1
14|,2,0,0
37|18.37.33,4,1,3
23|18.37.18,10,2,0
22|36.9,3,2,2
24|18.37.18,9,2,3
6|,6,2,3
4|18.36,14,1,3
7|15,7,2,0
18|36.26,0,2,3
18|23,15,2,0
21|24,14,1,3
17|24,5,2,2
37|28.27,8,3,1
30|8.13.24,12,3,3
20|,13,2,2
