source,target,value
36|29.12.37,12|36.29.12.37,9
36|29.12.37,1|36,6
32|12,12|32,36
32|12,27|32,1
32|12,23|32,1
32|12,33|32,2
32|12,9|32,1
32|12,3|32,2
32|12,25|32.12,1
32|12,28|32,4
32|12,2|32,1
32|12,20|32,2
32|12,22|32,3
32|12,36|32,32
32|12,8|32,1
32|12,16|32,1
32|12,34|32,1
32|12,37|32,45
32|12,17|32,275
32|12,18|32,1
32|12,5|32,1
32|12,24|32,1
20|12.17,36|20.12.17,1
20|12.17,12|20.12,1
24|12.37.2,25|24,2
24|12.37.2,27|24.12.37,1
24|12.37.2,36|24,1
13|12.9,12|13.12.9,1
13|12.9,29|13,1
25|12.37.12.13.11,18|25,1
37|32.25.17,12|37.32.25.17,1
25|4.30.37,37|25.4.30.37,1
32|12.36.8,37|32,1
32|12.36.8,36|32,1
32|12.36.8,17|32.12.36.8,1
32|12.36.8,16|32,1
36|13,25|36,4
36|13,19|36.13,1
36|13,0|36,1
36|13,12|36.13,5
36|13,11|36,5
36|13,20|36.13,1
36|13,15|36.13,2
32|12.33,17|32.12.33,1
0|12.37.31,37|0.12.37.31,1
37|28.22.12,12|37.28.22.12,1
37|12.37.12.37.12.21,12|37.12.37.12.37.12.21,8
36|0.13,29|36.0,1
36|0.13,12|36.0,1
36|9.18,21|36.9,1
12|37.12.36.12.0,17|12.37.12.36,1
12|37.12.36.12.0,21|12.37.12.36,1
3|24.36,12|3.24,1
25|12.37.12.36.0,19|25.12.37.12.36,1
25|12.37.12.36.0,32|25,1
25|12.37.12.36.0,12|25.12.37.12.36,1
12|36.12.25.37,23|12,1
25|12.14,11|25,1
20|19.25.12.37.12.36,19|20.19,1
23|24,5|23.24,1
30|10.0,24|30,1
36|12.37.34,12|36.12.37.34,3
37|11,6|37,1
37|11,25|37,1
37|11,12|37.11,15
37|11,13|37,1
12|37.12.37.7.11,13|12,1
37|16.5.12,12|37.16.5.12,3
12|37.12.0.12.36,9|12.37.12,1
12|37.12.0.12.36,37|12.37.12.0.12.36,2
37|25.12.37.12.37.27,12|37.25.12.37,1
37|25.12.37.12.37.27,10|37,2
13|29,36|13.29,1
13|29,37|13.29,2
25|12.37.12.37.12.37.12.37.1,0|25,3
25|12.37.12.37.12.37.12.37.1,15|25,5
25|12.37.12.37.12.37.12.37.1,37|25.12.37,2
30|10.36.12.37.18,1|30,1
12|37.12.37.0.36,9|12.37.12.37.0.36,1
12|37.12.37.0.36,36|12.37.12,2
12|37.12.37.0.36,37|12.37.12,2
37|25.12.37.12.37.25.33,25|37,1
12|37.12.37.12.0.12.36,8|12,1
