source,target,value
36|28,12|36.28,22
25|8,37|25,8
6|20.36,37|6,9
34|,37|34,176
34|,12|34,8
34|,25|34,8
34|,36|34,44
34|,28|34,16
34|,22|34,88
12|33,37|12.33,53
12|33,3|,10
25|12.37.8,37|25.12,8
12|37.34,22|12.37,17
12|37.34,37|12.37.34,104
12|37.34,36|12,8
12|37.34,2|12,14
12|37.34,25|12.37,15
12|37.10,30|12,10
12|37.10,37|12.37,37
17|32.36,37|17,9
28|25,34|28,8
13|12.25,37|13,11
13|12.25,11|13,8
12|37.12.37.12.37.6,37|12.37.12.37.12,46
12|37.12.37.12.37.6,9|,21
0|36.15,21|0.36,11
25|4,37|25,28
25|4,36|25,8
25|4,12|25,11
12|37.12.37.12.37.12.37.28,37|12.37.12.37.12,12
12|37.12.37.12.37.12.37.28,2|12,9
13|25,12|13,10
13|25,36|13,10
13|25,11|13.25,8
13|25,37|13,29
25|34.12,37|25,14
25|34.12,22|25,8
27|,36|27,33
27|,3|,11
27|,24|27,25
27|,25|27,29
27|,37|27,202
27|,12|27,36
12|37.0,15|12,10
12|37.0,37|12.37,78
12|37.0,36|12,11
12|37.0,25|12.37,11
12|37.0,9|,9
36|1,29|36,8
36|1,12|36.1,29
37|25,12|37.25,13
20|,12|20,9
20|,25|,18
20|,19|20,18
20|,36|20,8
20|,37|20,131
20|,6|20,36
12|37.19,37|12.37.19,91
12|37.19,9|,28
12|37.19,36|12,16
37|10,12|37.10,10
36|7,25|36,8
36|7,12|36.7,28
37|30,12|37.30,9
32|36,37|32,8
32|36,17|32.36,9
12|37.12.37.28,37|12.37.12.37.28,61
12|37.12.37.28,25|12.37.12.37,14
12|37.12.37.28,36|12,9
12|37.12.37.28,2|12,8
25|1,37|25,20
25|1,29|25,10
25|1,12|25,11
6|20.12,19|6,23
6|20.12,37|6,15
12|37.12.36.8,37|12.37.12,34
12|37.12.36.8,8|,13
37|28,12|37.28,8
12|36.12,37|12.36,1311
12|36.12,34|12.36,16
12|36.12,18|12.36,24
12|36.12,15|12.36,22
12|36.12,17|12.36,12
12|36.12,32|,50
12|36.12,23|,10
12|36.12,22|,13
12|36.12,11|12.36,30
12|36.12,3|12.36,25
12|36.12,9|,101
12|36.12,0|12.36,19
12|36.12,20|12.36,16
12|36.12,8|,82
12|36.12,1|12.36,16
12|36.12,7|,10
12|36.12,31|12.36,38
12|36.12,13|,45
12|36.12,25|12.36,116
12|36.12,29|12.36,30
12|36.12,2|12,30
12|36.12,10|12.36,22
12|36.12,36|12.36,309
12|36.12,19|12.36.12,8
37|12.17,12|37.12.17,48
19|12.37.25,20|19,11
3|12.37.24,27|3,9
12|22,37|12,8
12|22,28|12,12
23|8,5|23,9
12|37.25.17,37|12.37,37
1|12.29,37|1,21
37|23,12|37.23,11
12|37.20,36|12,20
12|37.20,9|,21
12|37.20,37|12.37.20,67
30|10.25,4|,31
30|10.25,12|30,11
34|12.36,37|34,9
34|12.36,22|34,8
21|0.12,37|21,19
21|0.12,15|21,8
37|12.37.34.28,12|37.12.37.34.28,41
32|,28|,10
32|,12|32,16
32|,36|32,17
32|,22|,9
32|,17|32,46
32|,37|32,135
32|,25|,20
12|37.12.37,21|12,8
12|37.12.37,23|,68
12|37.12.37,37|12.37.12.37,9514
12|37.12.37,36|12,1132
12|37.12.37,5|12.37,17
12|37.12.37,4|12.37.12,23
12|37.12.37,13|,108
12|37.12.37,6|12.37.12,22
12|37.12.37,17|12,52
12|37.12.37,3|,139
12|37.12.37,2|12,165
12|37.12.37,34|12,108
12|37.12.37,19|12,123
12|37.12.37,32|,188
12|37.12.37,1|12.37,55
12|37.12.37,26|12.37,21
12|37.12.37,30|12,30
12|37.12.37,10|,156
12|37.12.37,0|12,93
12|37.12.37,29|12,114
12|37.12.37,15|12,167
12|37.12.37,31|,235
12|37.12.37,20|12,64
12|37.12.37,16|12,29
12|37.12.37,33|12,30
12|37.12.37,8|,467
12|37.12.37,7|,59
12|37.12.37,22|12.37,125
12|37.12.37,11|12.37.12.37,8
12|37.12.37,9|,487
12|37.12.37,18|,125
12|37.12.37,25|12.37.12.37,36
12|37.12.37,24|12,55
12|37.12.37,27|12,8
18|12.31,37|18,15
18|12.31,7|18,47
18|12.31,25|18,8
