21|15,12|21,25
21|15,36|,13
32|,28|,10
32|,36|32,17
32|,37|,137
32|,12|32,16
32|,25|,20
32|,17|32,87
13|,37|,200
13|,12|13,12
13|,18|,11
13|,36|,64
13|,11|13,36
13|,25|13,17
31|,12|31,23
31|,37|,125
31|,7|,15
31|,29|31,12
31|,25|,21
31|,36|,47
31|,18|31,20
34|22,28|34,12
32|25,17|32,58
27|3,37|,22
27|3,24|27,34
9|,20|,17
9|,37|,615
9|,12|9,19
9|,25|,20
9|,8|,13
9|,18|,17
9|,36|9,154
9|,0|,16
9|,19|9,21
9|,11|9,10
18|25,37|,19
12|21,37|,53
26|,37|,79
26|,36|26,12
26|,2|26,10
26|,12|26,12
26|,25|,16
26|,33|,323
22|25,28|,42
8|36,37|,12
3|24,37|,11
3|24,27|3,14
10|36,30|,24
12|17,37|,65
12|17,25|,11
30|4,10|30,10
27|,37|,203
27|,12|27,36
27|,3|,11
27|,36|,42
27|,24|27,25
27|,25|27,29
11|13,37|,58
11|13,25|11,53
11|13,36|,17
11|13,12|11,36
36|15,0|36,13
36|15,12|,28
6|20,36|6,36
6|20,37|,126
6|20,12|6,50
6|20,25|6,30
6|20,19|6,50
0|,21|,231
0|,37|,165
0|,36|0,53
0|,25|,19
0|,20|,18
0|,15|0,48
0|,12|0,43
0|,19|,14
6|,36|6,43
6|,12|6,45
6|,25|6,17
6|,37|,195
6|,20|6,13
6|,19|6,44
29|,15|,14
29|,12|29,11
29|,0|,11
29|,37|,123
29|,1|,289
29|,36|29,45
29|,25|29,13
12|29,1|,29
12|29,37|,11
1|36,37|,14
12|26,37|,12
25|16,37|,21
11|9,18|,10
9|36,37|,18
26|36,33|,13
8|,37|,678
8|,12|8,12
8|,32|,13
8|,25|,16
8|,36|8,129
8|,9|,16
8|,23|,12
18|,13|,11
18|,37|,175
18|,25|18,13
18|,11|18,16
18|,7|18,43
18|,12|18,29
18|,32|,12
18|,36|18,63
18|,0|,30
18|,31|,12
20|6,19|20,24
20|6,12|20,13
20|6,37|,44
36|25,13|36,11
36|25,12|,275
21|36,37|,16
15|36,21|15,25
15|36,0|15,12
15|36,36|15,11
12|3,24|12,14
22|28,37|,12
