student_assignment_grade,struc0,struc1,struc10,struc11,struc12,struc13,struc2,struc3,struc4,struc5,struc6,struc7,struc8,struc9
student11_Prompt4_1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
student11_Prompt10_1.0,0,1,1,3,1,0,0,1,6,1,0,4,0,1
student11_Integration3_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student12_Capstone_1.0,6,0,3,3,0,0,0,0,13,0,0,6,0,0
student12_Prompt8_1.0,2,0,0,4,2,0,0,0,14,1,0,9,0,3
student12_Prompt5_1.0,0,1,3,4,0,0,2,0,18,0,0,7,0,1
student12_Prompt3_1.0,0,0,0,3,0,2,1,0,8,1,0,5,0,0
student12_Prompt11_1.0,1,0,0,1,0,1,0,0,6,0,1,3,0,2
student12_Prompt2_1.0,4,1,0,9,1,0,0,2,27,0,1,14,0,1
student12_Prompt6_1.0,3,0,0,4,0,0,0,0,7,0,0,6,0,0
student12_Integration3_1.0,0,0,0,3,0,0,1,0,10,1,1,4,0,2
student12_Prompt10_1.0,2,0,2,6,1,0,0,0,16,0,0,11,2,1
student13_Capstone_1.0,4,0,1,1,0,0,0,0,6,0,0,2,0,0
student13_Prompt7_1.0,1,0,0,1,0,0,0,0,6,0,0,2,0,0
student13_Prompt2_1.0,1,1,1,3,0,0,2,2,6,0,1,6,0,0
student13_Prompt5_1.0,1,0,1,1,0,0,0,0,6,0,0,4,0,1
student13_Prompt9_1.0,0,0,1,3,1,0,0,2,8,1,0,5,0,2
student13_Prompt3_1.0,0,1,0,1,0,2,1,0,9,0,2,7,0,0
student13_Prompt4_1.0,0,0,0,2,0,0,0,2,5,0,1,5,2,0
student13_Prompt6_1.0,2,0,0,1,0,0,0,0,5,0,0,3,0,0
student13_Prompt10_1.0,0,2,2,0,3,0,0,0,5,0,0,2,2,1
student14_Capstone_1.0,6,0,1,3,0,0,1,1,11,0,1,5,0,3
student14_Prompt7_1.0,1,0,0,3,0,0,1,0,9,0,0,5,0,0
student14_Prompt2_1.0,1,1,1,5,1,0,3,3,8,0,0,1,0,0
student14_Prompt9_1.0,0,0,0,1,0,0,0,0,5,0,0,1,0,0
student14_Prompt3_1.0,1,0,0,1,0,0,0,0,10,0,0,4,0,0
student14_Prompt8_1.0,0,0,0,1,1,0,0,1,7,1,0,3,1,1
student14_Prompt4_1.0,1,0,0,1,0,1,0,2,11,1,0,3,1,0
student14_Prompt6_1.0,0,0,0,1,0,0,0,0,3,0,0,4,0,0
student14_Integration3_1.0,0,0,1,6,0,0,0,1,14,1,1,5,2,3
student14_Prompt10_1.0,1,1,1,4,1,0,0,0,8,0,0,10,1,0
student15_Prompt7_1.0,2,1,1,3,2,0,0,1,6,0,0,2,0,0
student15_Prompt5_1.0,0,2,1,3,0,0,1,3,11,0,0,7,0,0
student15_Prompt8_1.0,1,0,0,0,1,0,0,1,10,1,0,3,1,1
student15_Prompt3_1.0,0,0,0,2,0,2,1,0,4,0,0,1,0,0
student15_Prompt2_1.0,2,1,2,8,2,0,1,5,23,1,1,10,1,1
student15_Prompt6_1.0,3,0,0,3,0,0,1,0,13,0,0,1,0,0
student15_Integration3_1.0,0,0,0,1,1,0,1,1,9,0,0,3,0,1
student15_Prompt10_1.0,0,2,1,4,1,0,1,0,11,0,0,5,1,0
student16_Capstone_0.9,2,0,1,3,0,0,0,0,6,0,0,4,0,1
student16_Prompt7_1.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
student16_Prompt9_1.0,0,1,1,2,0,0,0,0,5,0,0,3,0,0
student16_Prompt3_1.0,0,0,0,1,0,0,0,0,5,0,0,2,0,0
student16_Prompt11_1.0,0,0,0,1,0,0,0,0,4,0,0,1,0,0
student16_Prompt6_1.0,2,0,0,1,0,0,0,0,4,0,0,1,0,0
student16_Prompt8_1.0,1,1,0,4,0,0,0,1,8,1,0,3,1,1
student16_Prompt5_1.0,0,1,3,2,0,0,0,0,7,0,0,2,0,0
student16_Prompt4_1.0,1,0,0,1,0,1,0,2,8,1,0,2,1,0
student16_Prompt2_1.0,1,1,1,2,0,0,1,2,2,0,0,0,0,0
student16_Prompt10_1.0,0,0,1,3,1,0,0,0,3,0,0,1,1,0
student16_Integration3_0.9,0,0,0,2,0,0,0,0,10,1,0,2,0,1
student17_Capstone_0.0,2,0,1,1,0,0,0,0,6,0,0,2,0,0
student17_Prompt7_1.0,1,1,1,3,1,0,0,0,5,0,0,3,0,0
student17_Prompt5_1.0,0,1,2,2,0,0,0,0,5,1,0,5,1,1
student17_Prompt9_1.0,1,2,0,5,0,0,1,0,14,0,0,7,0,0
student17_Prompt3_1.0,1,0,0,3,0,2,1,0,8,0,0,5,0,0
student17_Prompt8_1.0,0,2,2,2,3,0,1,1,11,2,0,10,1,3
student17_Prompt4_1.0,1,0,0,3,0,0,1,1,9,1,0,4,2,1
student17_Prompt10_1.0,0,0,0,4,1,0,0,0,4,0,1,5,1,0
student17_Integration3_0.9,0,0,0,3,0,0,1,0,8,1,0,2,0,1
student18_Capstone_1.0,4,0,1,3,0,0,0,0,6,0,0,3,0,0
student18_Prompt7_1.0,1,1,0,4,0,0,0,1,6,1,1,4,2,0
student18_Prompt2_1.0,1,0,1,3,0,0,0,2,6,0,1,2,0,0
student18_Prompt5_1.0,1,3,2,5,0,0,1,0,8,0,0,5,0,0
student18_Prompt9_1.0,2,1,2,3,0,0,0,0,9,0,0,6,0,0
student18_Integration3_1.0,0,0,0,2,0,0,0,0,4,0,0,2,2,0
student18_Prompt8_1.0,0,0,0,3,1,0,0,1,6,1,0,4,0,2
student18_Prompt4_1.0,1,0,0,0,0,0,0,2,5,0,0,0,1,0
student18_Prompt6_1.0,1,1,0,1,0,0,0,0,5,0,1,2,0,0
student18_Prompt10_1.0,0,0,2,6,1,0,0,0,5,0,1,2,2,0
student19_Capstone_1.0,3,0,2,3,0,0,1,0,11,0,0,5,0,0
student19_Prompt7_1.0,1,0,0,3,0,0,0,0,4,0,0,4,0,0
student19_Prompt2_1.0,1,0,1,3,0,0,2,1,4,0,0,1,0,0
student19_Prompt5_1.0,2,0,1,4,0,0,0,0,8,0,0,6,0,0
student19_Prompt9_1.0,0,1,1,6,0,0,1,0,9,0,0,6,0,0
student19_Integration3_1.0,0,0,0,3,0,1,1,1,10,1,0,5,1,1
student19_Prompt11_1.0,2,1,0,2,0,1,0,0,8,0,0,5,0,3
student19_Prompt8_1.0,0,0,0,1,1,0,0,1,3,1,0,3,1,2
student19_Prompt4_1.0,1,0,0,1,0,0,0,0,4,0,0,3,1,0
student19_Prompt6_1.0,1,0,0,4,0,0,0,0,9,0,0,8,0,0
student19_Prompt10_1.0,0,0,0,3,1,0,0,0,3,0,0,4,1,1
student20_Prompt9_1.0,5,0,0,4,2,0,2,0,16,1,2,13,0,4
student20_Prompt5_1.0,2,3,3,8,0,0,1,0,18,2,2,9,0,1
student20_Prompt3_1.0,0,1,1,5,2,4,0,1,16,1,2,9,2,0
student20_Prompt11_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student20_Prompt6_1.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
student20_Integration3_0.9,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student20_Prompt10_1.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
student21_Capstone_1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
student21_Prompt7_1.0,1,0,0,3,0,0,0,0,7,0,0,4,0,0
student21_Prompt2_1.0,1,0,0,1,0,0,2,1,5,0,0,2,0,0
student21_Prompt5_1.0,1,0,1,1,0,0,0,0,6,0,0,4,0,0
student21_Prompt8_1.0,0,0,0,0,0,0,0,1,2,1,0,2,1,1
student21_Prompt3_1.0,0,0,0,0,0,1,0,0,5,0,0,3,0,0
student21_Prompt4_1.0,1,0,0,2,0,0,0,1,6,0,0,4,1,1
student21_Prompt6_1.0,2,1,1,2,1,0,0,0,9,0,0,3,0,0
student21_Integration3_0.9,2,0,3,3,0,0,1,1,14,2,0,1,0,1
student21_Prompt10_1.0,1,0,1,6,2,0,1,0,9,0,0,5,1,0
student22_Capstone_0.9,5,0,3,4,3,0,0,0,12,0,0,6,2,0
student22_Prompt7_1.0,3,0,0,1,0,0,0,0,8,0,0,4,0,1
student22_Prompt2_1.0,3,0,1,8,1,0,1,2,17,0,0,6,0,0
student22_Prompt5_1.0,1,1,0,2,0,0,0,0,6,0,0,2,1,0
student22_Prompt9_1.0,1,0,0,1,0,0,0,0,7,0,0,3,0,0
student22_Prompt3_1.0,0,1,1,0,1,1,0,0,3,0,0,1,0,0
student22_Prompt8_1.0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
student22_Prompt4_1.0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
student22_Prompt6_1.0,2,0,1,3,0,0,0,0,8,0,0,4,0,0
student22_Integration3_1.0,0,1,1,6,0,0,1,0,11,1,0,8,0,1
student22_Prompt10_1.0,0,1,0,1,0,0,0,0,7,0,0,2,0,0
student23_Prompt9_1.0,1,2,1,7,0,0,1,0,13,0,0,11,0,1
student23_Prompt2_1.0,0,1,0,4,0,0,1,3,7,0,1,6,0,0
student23_Prompt5_1.0,1,0,2,2,0,0,0,0,9,0,0,5,0,2
student23_Prompt7_1.0,1,0,0,3,1,0,0,0,6,0,0,4,0,0
student23_Prompt3_1.0,1,0,0,1,0,1,0,0,9,1,0,6,0,1
student23_Prompt11_1.0,3,1,0,5,0,0,0,0,10,0,2,7,1,3
student23_Prompt8_1.0,0,0,0,1,2,0,1,1,3,1,0,4,1,3
student23_Prompt4_1.0,1,0,0,0,0,0,0,1,4,0,0,3,1,0
student23_Integration3_1.0,0,0,2,2,1,2,1,0,7,0,0,5,1,2
student24_Prompt9_1.0,0,0,0,3,0,0,0,0,4,0,0,3,0,0
student24_Prompt2_1.0,0,1,0,0,0,0,2,1,6,0,0,8,0,0
student24_Prompt7_1.0,1,0,0,3,0,0,0,0,9,0,0,5,0,0
student24_Integration3_0.9,0,2,3,4,2,0,2,2,18,1,1,13,2,3
student24_Prompt11_1.0,1,1,0,1,0,0,0,0,5,0,1,3,0,2
student24_Prompt8_1.0,1,0,0,3,2,1,1,0,4,2,0,4,0,2
student24_Prompt4_1.0,0,1,0,1,0,0,1,2,6,0,0,4,1,0
student24_Prompt6_1.0,0,0,0,1,0,0,0,0,5,0,0,4,0,0
student24_Prompt10_1.0,1,0,0,1,1,0,0,0,6,0,0,3,1,0
student25_Capstone_1.0,2,0,1,2,0,0,0,0,8,0,0,3,0,0
student25_Prompt9_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student25_Prompt3_1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
