source,target,value
36|18.11,18|36.18.11,1
20|,37|20,1
20|,36|20,1
20|,18|20,1
20|,14|,0.0330935252
20|,29|20,0.4761904762
20|,21|20,0.5
20|,100|,0.1237410072
18|40.18.27,0|18.40,1
18|40.18.27,14|18.40,0.2741935484
18|40.18.27,1|18,0.2096774194
18|40.18.27,100|,0.5161290323
40|18.21,18|40.18.21,1
14|31,18|14.31,1
14|31,100|,0.6781609195
36|4,4|,1
18|40.18.21,11|,1
40|18.19,18|40.18.19,0.5454545455
32|24,23|32,1
30|6.36,100|,1
18|9.36,40|18.9.36,1
28|,9|28,0.2718168813
28|,39|28,1
28|,18|,0.1466666667
28|,36|28,0.0414878398
28|,14|28,1
28|,12|28,0.4420600858
28|,21|,0.1047619048
28|,18|28,1
28|,100|,0.0629470672
28|,37|28,1
28|,40|28,1
20|18,18|20,1
20|18,21|20.18,1
20|18,29|20.18,0.5161290323
20|18,100|,0.1279069767
13|18.40,15|13.18,1
38|10,10|,1
28|18,9|28.18,0.1769911504
28|18,14|28,0.0648967552
28|18,12|28,0.6342182891
28|18,21|,0.1666666667
28|18,18|28.18,0.0766961652
28|18,100|,0.0471976401
14|36.14.27,100|,1
37|14,14|,1
22|,12|,0.1121076233
22|,37|22,1
22|,36|22,1
22|,8|22,1
22|,14|22,1
22|,1|22,0.3157894737
22|,1|,0.4838709677
22|,18|22,0.5161290323
22|,39|22,1
18|40.18.30,14|18.40,0.1616161616
18|40.18.30,4|18,0.202020202
18|40.18.30,100|,1
17|4.14,36|17,0.2333333333
17|4.14,31|,0.7666666667
14|28,12|,1
18|40.18.17,100|,0.6551724138
18|40.18.17,14|18.40,0.3448275862
18|14.18.40,40|18.14.18.40,1
39|18.14,18|39.18.14,1
40|14,14|,1
40|18.2.30,18|40.18.2.30,1
36|10,10|36,1
33|18,40|33,0.3243243243
33|18,23|33,0.4814814815
33|18,18|33,0.6756756757
18|40.18.9.36,100|,1
34|7,10|,1
39|28,28|,1
9|38,100|,1
34|,39|34,1
34|,36|34,1
34|,18|34,1
34|,40|34,1
34|,10|,0.1699846861
34|,100|,0.0796324655
34|,7|34,0.0879765396
34|,14|34,1
40|25,25|,1
40|18.5.36,18|40.18.5.36,1
27|1,18|27,1
27|1,100|,0.3793103448
14|9,18|14,0.3015873016
14|9,100|,0.6984126984
19|14.18,26|19,1
12|1,18|12,1
18|5,40|18.5,1
18|5,36|18,0.1473684211
18|5,100|,0.1368421053
18|5,40|,0.9393939394
18|5,39|18,0.1157894737
37|15,15|,1
15|13.14,18|15,0.2555555556
15|13.14,36|15,0.1111111111
15|13.14,100|,0.6333333333
21|14,29|21,0.21875
21|14,20|21.14,1
38|18,18|38,1
19|26.3,100|,1
36|18.30,18|36.18.30,1
18|32,40|,1
2|,18|2,0.075862069
2|,36|2,1
2|,6|2,0.7207207207
2|,14|2,0.41
2|,30|2,0.5217391304
2|,100|,0.2759146341
14|2.18,6|14,0.5625
14|2.18,18|14,0.4375
18|24,24|18,0.0207373272
18|24,24|,0.0207373272
18|24,38|18,0.0241935484
18|24,37|18,0.0299539171
18|24,36|18,0.0299539171
18|24,40|18.24,1
18|24,40|,0.8052995392
18|24,39|18,0.0898617512
11|,29|,0.007423905
11|,8|,0.013363029
11|,40|11,1
11|,37|11,1
11|,39|11,1
11|,28|,0.0111358575
11|,1|,0.0289532294
11|,100|,0.0972531552
11|,14|,0.2380952381
11|,18|11,1
11|,12|11,1
11|,22|11,1
11|,21|11,1
11|,20|,0.0193021529
11|,36|11,1
36|3,3|36,1
40|18.12.18,18|40.18.12.18,1
6|2,30|6.2,0.7083333333
6|2,40|6,0.0900900901
6|2,36|6,0.1891891892
23|18,33|23,1
9|28.18,18|9.28,0.4444444444
9|28.18,12|9,0.7027027027
9|28.18,100|,0.2972972973
6|14,30|6.14,1
18|5.36,40|18.5.36,1
40|18.31,18|40.18.31,0.3777777778
18|40.18.8,27|18.40.18.8,0.5454545455
18|40.18.8,8|,0.0611353712
18|40.18.8,8|18,0.0611353712
